numero_chapitre;chapitre;énoncé;nb_sortie;réponse;
5;espaces vectoriels normés;comment montrer en pratique que 2 normes sont équivalentes ?;0;;
5;espaces vectoriels normés;comment montrer en pratique que 2 normes ne sont pas équivalentes (en dim infinie donc) ?;0;;
5;espaces vectoriels normés;énoncer le théorème de Heine;0;;
5;espaces vectoriels normés;définition de la continuité uniforme d'une fonction;0;;
5;espaces vectoriels normés;rapport entre continuité globale et continuité uniforme;0;;
5;espaces vectoriels normés;définition d'une partie convexe;0;;
5;espaces vectoriels normés;définition d'une fonction lipschitzienne;0;;
5;espaces vectoriels normés;lien entre fonction lip. et continuité uniforme;0;;
5;espaces vectoriels normés;caractérisation de la continuité d'une application linéaire;0;;
5;espaces vectoriels normés;continuité d'une application linéaire en dimension ?...;0;;
5;espaces vectoriels normés;définition de la norme subordonnée d'une application linéaire;0;;
5;espaces vectoriels normés;pour une application linéaire u et un vecteur x, quel rapport entre les normes ||u(x)||, ||x|| et la norme subordonnée |||u||| ?;0;;
5;espaces vectoriels normés;quel rapport entre une valeur propre lambda d'un endomorphisme u et la norme subordonnée |||u||| ?;0;;
5;espaces vectoriels normés;que dire de la norme subordonnée |||u+v||| d'une somme ?;0;;
5;espaces vectoriels normés;que dire de la norme subordonnée |||uov||| de la composée ?;0;;
5;espaces vectoriels normés;définition d'un compact;0;;
5;espaces vectoriels normés;compact=fermé borné ?;0;;
5;espaces vectoriels normés;une fonction continue sur un compact est ?;0;;
5;espaces vectoriels normés;GLn(|R) est fermé, ouvert, compact ?;0;;
5;espaces vectoriels normés;pourquoi une boule fermée est-elle un fermé ?;0;;
5;espaces vectoriels normés;comment montrer en pratique qu'une partie est compacte ?;0;;
6;intégration intervalle quelconque;définition de l'intégrabilité d'une fonction  quelconque (réelle ou complexe);0;;
6;intégration intervalle quelconque;définition de l'intégrale de f sur [a,+∞[ converge;0;;
6;intégration intervalle quelconque;convergence de l'intégrale de 1/x^a sur [1,+∞[  ?;0;;
6;intégration intervalle quelconque;convergence de l'intégrale de e^{-ax} sur [0,+∞[ (et valeur éventuelle) ?;0;;
6;intégration intervalle quelconque;si f est intégrable sur [a, +∞[, alors f tend vers 0 en + ∞ ?;0;;
6;intégration intervalle quelconque;La fonction ln est-elle intégrable sur ]0,1] ? Pourquoi ?;0;;
6;intégration intervalle quelconque;intégrabilité des fonctions de Riemann ?;0;;
6;intégration intervalle quelconque;énoncé d'un théorème de comparaison pour l'intégrabilité;0;;
6;intégration intervalle quelconque;rapport entre "fontion intégrable" et "limite finie de primitive" ?;0;;
6;intégration intervalle quelconque;exemple d'une fonction non intégrable qui a une limite finie de primitive ?;0;;
6;intégration intervalle quelconque;l'intégrale du sinus cardinal converge-t-elle entre 0 et +∞ ?;0;;
6;intégration intervalle quelconque;formule de changement de variable pour une intégrale sur un intervalle quelconque;0;;
6;intégration intervalle quelconque;intégration par parties sur un intervalle quelconque;0;;
6;intégration intervalle quelconque;comment étudier en pratique l'intégrabilité d'une fonction sur un intervalle ]a,b] (a réel) ?;0;;
6;intégration intervalle quelconque;si f est cont/morceaux sur ]0,1] et a une limite finie en 0, alors f est intégrable sur ]0,1] ?;0;;
6;intégration intervalle quelconque;si f est cont/morceaux et intégrable sur ]0,1], alors f a une limite finie en 0 ?;0;;
6;intégration intervalle quelconque;si f est cont/morceaux et intégrable sur ]0,1], alors f a une limite en 0 ?;0;;
7;fonctions vectorielles;dérivée de Lof si f est dérivable et L linéaire ?;0;;
7;fonctions vectorielles;dérivée de B(f,g) si f,g sont dérivables et B bilinéaire ?;0;;
7;fonctions vectorielles;dérivée de (f | g) ?;0;;
7;fonctions vectorielles;dérivée de || f ||^2 où || || est une norme euclidienne ?;0;;
8;algèbre linéaire;énoncé théorème du rang;0;;
8;algèbre linéaire;énoncé formule du rang;0;;
8;algèbre linéaire;définition d'un projecteur;0;;
8;algèbre linéaire;définition d'une somme de plusieurs s.e.v.;0;;
8;algèbre linéaire;définition d'une somme directe de plusieurs s.e.v.;0;;
8;algèbre linéaire;définition d'une famille libre (cas famille finie puis quelconque);0;;
8;algèbre linéaire;définition/caractérisation d'un Vect;0;;
8;algèbre linéaire;définition du rang d'une famille quelconque de vecteurs;0;;
8;algèbre linéaire;comment trouver en pratique l'image d'une application linéaire ?;0;;
8;algèbre linéaire;rapport entre projection vectorielle et symétrie;0;;
8;algèbre linéaire;comment caractériser un projecteur ?;0;;
8;algèbre linéaire;si la composée de 2 applications linéaires est nulle, que peut-on dire pour les images, noyaux ? Réciproque ?;0;;
8;algèbre linéaire;pour 2 applications linéaires, quel rapport entre Ker u et Ker vou ? Quel énoncé pour les images ?;0;;
8;algèbre linéaire;dimension d'une somme (directe) de sous-espaces vectoriels ?;0;;
8;algèbre linéaire;dimension de L(E,F) ? (pour E et F deux espaces vectoriels de dim finie);0;;
8;algèbre linéaire;Caractérisation des isomorphismes en dimension finie;0;;
9;matrices;dimension de An(K) ? Sn(K) ?;0;;
9;matrices;A quelle condition une matrice triangulaire est-elle inversible ?;0;;
9;matrices;expression des coefficients de la matrice produit A*B ?;0;;
9;matrices;rang d'une matrice diagonale en fonction de ses coefficients ?;0;;
9;matrices;trace d'un projecteur =? (en dimension finie);0;;
9;matrices;tr(AB)=tr(A) tr(B) ?;0;;
9;matrices;propriétés de la transposition des matrices;0;;
9;matrices;définition du rang d'une matrice;0;;
9;matrices;propriétés de la trace des matrices;0;;
9;matrices;que vaut le produit E_(i,j)*E_(k,l) ? (pour les matrices de la base canonique);0;;
9;matrices;pour des matrices inversibles, que vaut (A*B*C)^(-1) ?;0;;
9;matrices;comment calculer en pratique l'inverse d'une petite matrice carrée inversible ?;0;;
9;matrices;en pratique, comment montrer que 2 matrices sont semblables ?;0;;
9;matrices;comment calculer en pratique le rang d'une petite matrice carrée ?;0;;
9;matrices;définition de 2 matrices semblables;0;;
9;matrices;définition de 2 matrices équivalentes;0;;
9;matrices;2 matrices semblables ont même ?... Et la réciproque ?;0;;
9;matrices;2 matrices équivalentes ont même ?... Et la réciproque ?;0;;
10;déterminants;définition (formule) du déterminant d'une matrice;0;;
10;déterminants;"définition ""en français"" du déterminant d'une matrice";0;;
10;déterminants;formule de développement suivant une ligne ou colonne d'un déterminant;0;;
10;déterminants;det(AB)=?;0;;
10;déterminants;calcul d'un déterminant triangulaire par bloc ?;0;;
10;déterminants;déterminant de Vandermonde;0;;
10;déterminants;formule avec la comatrice;0;;
10;déterminants;que devient le déterminant d'une matrice si on effectue une opération élémentaire ?;0;;
11;structures;définition d'une relation d'équivalence;0;;
11;structures;définition d'une relation d'ordre;0;;
11;structures;définition d'un groupe;0;;
11;structures;définition d'un anneau;0;;
11;structures;définition d'un corps;0;;
11;structures;définition d'un espace vectoriel;0;;
11;structures;caractérisation d'un sous-espace vectoriel;0;;
11;structures;caractérisation d'un sous-groupe;0;;
11;structures;définition d'un idéal d'un anneau commutatif;0;;
11;structures;définition d'une application linéaire;0;;
11;structures;définition d'un morphisme de groupes;0;;
11;structures;définition d'un morphisme d'algèbres;0;;
11;structures;sous-groupes de (Z,+) ?;0;;
11;structures;quelle structure a l'ensemble des inversibles d'un anneau ?;0;;
11;structures;quels sont les générateurs du groupe (Z/nZ,+) ?;0;;
11;structures;quels sont les idéaux de Z ?;0;;
11;structures;quel est l'ordre dans le groupe GL_n(IK) d'une matrice de symétrie ?;0;;
11;structures;quel est l'ordre dans le groupe O_2(|R) d'une matrice de rotation d'angle 2*pi/n ?;0;;
11;structures;quels sont les idéaux de K[X] ?;0;;
11;arithmétique;définition du pgcd de 2 nombres;0;;
11;arithmétique;définition du ppcm de 2 nombres;0;;
11;arithmétique;définition du pgcd de n nombres;0;;
11;arithmétique;relation entre pgcd et ppcm pour 2 entiers a et b ?;0;;
11;arithmétique;théorème de Bezout pour les entiers;0;;
11;arithmétique;théorème de Gauss pour les entiers;0;;
11;arithmétique;comment trouver une relation de Bezout entre 49 et 15  (sans calculatrice) ?;0;;
11;arithmétique;si l'on possède une relation de Bezout entre 2 entiers a et b, comment trouver toutes les relations de Bezout entre a et b ensuite ?;0;;
13;groupes monogènes;définition de l'ordre d'un élément dans un groupe;0;;
13;groupes monogènes;dans un groupe fini, que peut-on dire de l'ordre d'un élément de ce groupe ?;0;;
13;groupes monogènes;définition d'un groupe monogène;0;;
13;groupes monogènes;définition d'un groupe cyclique;0;;
13;groupes monogènes;(Z,+) est-il un groupe cyclique ?;0;;
13;groupes monogènes;citer un exemple de groupe monogène infini et un exemple de groupe cyclique;0;;
13;groupes monogènes;comment calculer en pratique l'ordre d'un élément dans un groupe ?;0;;
13;groupes monogènes;si x est un élément d'ordre 3 dans un groupe (G,*), alors x^3=1;0;;
13;groupes monogènes;si x est un élément d'ordre 3 dans un groupe (G,*), alors x^4=x;0;;
13;groupes monogènes;si x est un élément dans un groupe (G,*) tel que x^4=1, alors x est d'ordre 4 ?;0;;
13;groupes monogènes;définition des éléments de Z/nZ;0;;
13;groupes monogènes;définition de la relation de congruence ""modulo n"" dans Z;0;;
13;groupes monogènes;que signifie que la relation de congruence ""modulo n"" est compatible avec les lois + et * dans Z ?;0;;
13;groupes monogènes;structure de Z/nZ ?;0;;
13;groupes monogènes;condition pour que Z/nZ soit un corps ?;0;;
13;groupes monogènes;éléments inversibles de Z/nZ ?;0;;
13;groupes monogènes;structure de l'ensemble des éléments inversibles de l'anneau Z/nZ ?;0;;
13;groupes monogènes;nombre d'éléments inversibles de l'anneau Z/nZ ?;0;;
13;groupes monogènes;générateurs du groupe (Z/nZ,+) ?;0;;
13;groupes monogènes;reste de la division euclidienne de 2019^(2020) par 6 ?;0;;
13;groupes monogènes;définition de la fonction indicatrice d'Euler (dans Z/nZ);0;;
13;groupes monogènes;comment calculer phi(n) où phi est la fonction indicatrice d'Euler et n un entier ?;0;;
13;groupes monogènes;petit théorème de Fermat (pour les entiers);0;;
13;groupes monogènes;théorème chinois (pour les entiers);0;;
13;groupes monogènes;comment résoudre dans Z un système de congruence (x=a [p] et x=b [q]) avec p et q premiers entre eux ?;0;;
12;réduction;définition vecteur propre;0;;
12;réduction;définition sous-espace propre;0;;
12;réduction;définition valeur propre;0;;
12;réduction;0 est valeur propre de u ssi ... ?;0;;
12;réduction;définition du polynôme minimal ?;0;;
12;réduction;structure de l'ensemble des polynômes annulateurs d'une matrice ?;0;;
12;réduction;rapport entre polynôme minimal et polynôme annulateur ?;0;;
12;réduction;rapport entre spectre et racines du polynôme caractéristique ?;0;;
12;réduction;pourquoi en dimension finie n'y a t'il qu'un nombre fini de valeurs propres ?;0;;
12;réduction;exemple d'endomorphisme ou de matrice réelle qui n'a pas de valeur propre réelle;0;;
12;réduction;coefficients en X^n, X^(n-1) et X^0 du polynôme caractéristique ?;0;;
12;réduction;que dire des valeurs propres de la transposée ?;0;;
12;réduction;Lemme des noyaux (en réduction);0;;
12;réduction;polynôme minimal d'une homothétie ?;0;;
12;réduction;polynôme minimal d'une symétrie ?;0;;
12;réduction;polynôme minimal d'un projecteur ?;0;;
12;réduction;lien entre le degré du polynôme minimal d'un endomorphisme u et la dimension de K[u];0;;
12;réduction;comment calculer en pratique les puissances d'une matrice dont on possède un polynôme annulateur ?;0;;
12;réduction;que peut-on dire de la somme des sous-espaces propres d'un endomorphisme ?;0;;
12;réduction;dimension s.e.p. et multiplicité ?;0;;
12;réduction;CNS diagonalisation par polynôme caractéristique;0;;
12;réduction;polynôme caractéristique scindé à racines simples ssi diagonalisable ?;0;;
12;réduction;que dire d'un endomorphisme diagonalisable avec une seule v.a.p. ?;0;;
12;réduction;rapport entre polynôme minimal et polynôme caractéristique ?;0;;
12;réduction;un projecteur est toujours diagonalisable ?;0;;
12;réduction;une symétrie est toujours diagonalisable ?;0;;
12;réduction;que peut-on dire du polynôme caractéristique d'un endomorphisme induit ?;0;;
12;réduction;2 matrices semblables ont-elles le même polynôme minimal ? Et pourquoi ?;0;;
12;réduction;CNS trigonalisation par polynôme caractéristique;0;;
12;réduction;comment trigonaliser en pratique ?;0;;
12;réduction;CNS diagonalisation par polynôme annulateur;0;;
12;réduction;CNS diagonalisation par polynôme minimal;0;;
12;réduction;rapport entre spectre et racines d'un polynôme annulateur ?;0;;
12;réduction;rapport entre spectre et racines du polynôme minimal ? ;0;;
12;réduction;définition d'un sous-espace caractéristique d'un endomorphisme en dimension finie ?;0;;
12;réduction;dimension d'un sous-espace caractéristique d'un endomorphisme en dimension finie ?;0;;
12;réduction;que peut-on dire de la somme des sous-espaces caractéristiques d'un endomorphisme ? Sous quelles hypothèses ?;0;;
14;suites/séries de fonctions;définition CVS et CVU d'une suite (f_n) de fonctions;0;;
14;suites/séries de fonctions;comment montrer en pratique la CVU d'une suite de fonctions ?;0;;
14;suites/séries de fonctions;comment montrer en pratique la non CVU d'une suite de fonctions ?;0;;
14;suites/séries de fonctions;théorème de continuité pour une suite de fonctions;0;;
14;suites/séries de fonctions;théorème de double limite pour une suite de fonctions;0;;
14;suites/séries de fonctions;théorème d'intégration pour une suite de fonctions (par CVU);0;;
14;suites/séries de fonctions;théorème de classe C^1 pour une suite de fonctions;0;;
14;suites/séries de fonctions;théorème de classe C^k pour une suite de fonctions;0;;
14;suites/séries de fonctions;définition CVS et CVU d'une série de fonctions;0;;
14;suites/séries de fonctions;définition CVN d'une série de fonctions;0;;
14;suites/séries de fonctions;rapport entre CVS, CU et CVN pour une série de fonctions;0;;
14;suites/séries de fonctions;comment montrer en pratique la CVU d'une série de fonctions (termes tous positifs) ?;0;;
14;suites/séries de fonctions;théorème de continuité pour une série de fonctions ;0;;
14;suites/séries de fonctions;théorème de double limite("échange série limite") pour une série de fonctions;0;;
14;suites/séries de fonctions;théorème d'intégration pour une série de fonctions (par CVU);0;;
14;suites/séries de fonctions;théorème de classe C^1 pour une série de fonctions;0;;
14;suites/séries de fonctions;théorème de classe C^k pour une série de fonctions;0;;
14;suites/séries de fonctions;comment montrer en pratique la CVU d'une série de fonctions (termes complexes) ?;0;;
14;suites/séries de fonctions;comment montrer en pratique la CVU d'une série de fonctions (termes de signe alterné) ?;0;;
14;suites/séries de fonctions;la somme S d'une série de fonctions est continue sur |R et on doit montrer la classe C1 sur |R*, sur quel(s) intervalle(s) travaillez-vous alors ?;0;;
15;séries entières;lemme d'Abel (séries entières);0;;
15;séries entières;définition(s) du rayon de convergence d'une série entière;0;;
15;séries entières;règle de d'Alembert (séries entières);0;;
15;séries entières;comment calculer en pratique le rayon de convergence d'une SE ?;0;;
15;séries entières;si |a_n| est inférieur à |b_n|, est-ce que le r. de c. de la SE R_a est plus petit ou plus grand que R_b ?;0;;
15;séries entières;type de convergence d'une série entière ? Et dans quelles zones du plan ou de |R ?;0;;
15;séries entières;rayon de convergence d'une somme de 2 SE ?;0;;
15;séries entières;quel DSE usuel possède 1/n! comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède a_n=1 comme coefficient général ?;0;;
15;séries entières;énoncer le théorème d'Abel radial (pour les séries entières);0;;
15;séries entières;De quelle classe est la fonction somme d'une série entière ? Et dans quel domaine ?;0;;
15;séries entières;comment montrer en pratique que la somme d'une SE est continue sur le segment [0,R] ?;0;;
15;séries entières;rayon de convergence du produit d'une SE par un scalaire ?;0;;
15;séries entières;rayon de convergence du produit de 2 SE ?;0;;
15;séries entières;comment faire en pratique le produit de Cauchy de 2 SE ?;0;;
15;séries entières;comment montrer en pratique qu'une fonction d'une variable réelle est développable en série entière ?;0;;
15;séries entières;sur quels types d'intervalle peut-on intégrer terme à terme sans justification une série entière ?;0;;
15;séries entières;DSE et rayon de Arctan(x);0;;
15;séries entières;DSE et rayon de sin(x);0;;
15;séries entières;DSE et rayon de cos(x);0;;
15;séries entières;DSE et rayon de exp(x);0;;
15;séries entières;DSE et rayon de ch(x);0;;
15;séries entières;DSE et rayon de sh(x);0;;
15;séries entières;DSE et rayon de 1/(1-x);0;;
15;séries entières;DSE et rayon de 1/(1+x);0;;
15;séries entières;DSE et rayon de (1+x)^α;0;;
15;séries entières;DSE et rayon de ln(1+x);0;;
15;séries entières;DSE et rayon de ln(1-x);0;;
15;séries entières;quel DSE usuel possède (-1)^n/n! comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède 1/(2n)! comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède (-1)^n/(2n)! comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède 1/n comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède (-1)^n/n comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède (-1)^n/(2n+1) comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède 1/(2n+1) comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède 1/(2n+1)! comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède (-1)^n/(2n+1)! comme coefficient général ?;0;;
15;séries entières;quel DSE usuel possède a_n=(-1)^n comme coefficient général ?;0;;
15;séries entières;si |a_n| est plus petit que 1, que dire du rayon de convergence R_a de la série des a_n x^n ?;0;;
15;séries entières;quel rapport entre Taylor et les séries entières ?;0;;
16;Espaces préhilbertiens;définition d'un produit scalaire;0;;
16;Espaces préhilbertiens;des vecteurs 2 à 2 orthogonaux sont libres ?;0;;
16;Espaces préhilbertiens;énoncer le théorème de Pythagore;0;;
16;Espaces préhilbertiens;définition de l'orthogonal d'une partie;0;;
16;Espaces préhilbertiens;l'orthogonal d'une partie est-il toujours un sous espace vectoriel ?;0;;
16;Espaces préhilbertiens;relation entre F (sev d'un espace E préhilbertien) et son double orthogonal F┴┴ ?;0;;
16;Espaces préhilbertiens;définition du produit scalaire usuel dans l'espace des matrices réelles ?;0;;
16;Espaces préhilbertiens;que vaut le produit scalaire de 2 matrices <A, B> en fonction des coefficients a_(i,j) et b_(i,j) ?;0;;
16;Espaces préhilbertiens;que vaut le carré de la norme usuelle ||A||^2 d'une matrice en fonction de ses coefficients a_(i,j) ?;0;;
16;Espaces préhilbertiens;définition d'un projecteur orthogonal (dans un espace préhilbertien);0;;
16;Espaces préhilbertiens;inégalité de Cauchy-Schwarz;0;;
16;Espaces préhilbertiens;identité de polarisation (espaces préhilbertiens);0;;
16;Espaces préhilbertiens;si E est un espace préhilbertien, qu'est-ce que l'orthogonal de E : E┴ ?;0;;
16;Espaces préhilbertiens;relation entre produit scalaire et norme associée, polarisation;0;;
16;Espaces préhilbertiens;définition d'un espace euclidien;0;;
16;Espaces préhilbertiens;définition d'une base orthonormée;0;;
16;Espaces préhilbertiens;exemples de base orthonormée dans |R^n, dans M_(n,p)(|R);0;;
16;Espaces préhilbertiens;que vaut la norme d'un vecteur dans une base orthonormée (en fonction des coordonnées du vecteur) ?;0;;
16;Espaces préhilbertiens;que vaut le produit scalaire de 2 vecteurs dans une base orthonormée (en fonction des coordonnées des vecteurs)?;0;;
16;Espaces préhilbertiens;comment écrire le produit scalaire usuel de 2 vecteurs à l'aides des matrices-colonnes les représentant ?;0;;
16;Espaces préhilbertiens;comment écrire le carré de norme euclidienne d'un vecteur à l'aide de la matrice-colonne le représentant ?;0;;
16;Espaces préhilbertiens;Expression d'une projection orthogonale;0;;
16;Espaces préhilbertiens;Distance d'un vecteur à un sev de dimension finie d'un espace préhilbertien (définition + théorème);0;;
16;Espaces préhilbertiens;condition pour qu'un sev F et son orthogonal soient supplémentaires dans un espace préhilbertien E ?;0;;
16;Espaces préhilbertiens;inégalité de Bessel (espaces préhilbertiens);0;;
16;Espaces préhilbertiens;comment déterminer la projection orthogonale d'un vecteur x sur un sev F de petite dimension ?;0;;
16;Espaces préhilbertiens;faire un dessin de projection orthogonale en dimension 2;0;;
